mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1.136769962310791,0.35885342533700787,0.06110844612121582,0.03374434812813894,,2,50,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}",-0.9018580211298703,-0.8395809225632559,-0.9094705474785121,-1.0902455022547315,-0.8382258652872496,-0.915876171742724,0.09218756871944377,35,-0.1281290488032646,-0.13443934616967787,-0.13036558586365732,-0.12663463281190535,-0.1312757091755256,-0.13016886456480617,0.0026889574122136565
3.186043071746826,1.1007318968899342,0.06329917907714844,0.015747740387723613,,2,100,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",-0.8774598501604827,-0.8348245977974585,-0.9160395479996694,-1.0709504585264105,-0.8171259422391028,-0.9032800793446247,0.09061074177457766,24,-0.12327194538889584,-0.12846901699662244,-0.12516832699096467,-0.11991718148709485,-0.12587335761870358,-0.12453996569645627,0.002849148132365009
5.938489055633545,0.8763666881608944,0.05778870582580566,0.013737426413056851,,2,200,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",-0.8646197622580867,-0.824963440519904,-0.9139970901726956,-1.0566939999881821,-0.806158926546999,-0.8932866438971736,0.08967940227597196,11,-0.12092199568991371,-0.1237439191629979,-0.12168908394220325,-0.11660628983177414,-0.12269630335122295,-0.12113151839562239,0.002453799599994572
1.6864130973815918,0.4275988377001706,0.026847457885742186,0.006606295242266688,,5,50,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 50}",-0.88811502533271,-0.841669121996407,-0.9126495642882189,-1.0899983473192973,-0.8375048865162581,-0.9139873890905783,0.09244515277043783,32,-0.17727529174771042,-0.18663293594902744,-0.17690146488757266,-0.1719676507103506,-0.18241954279751693,-0.1790393772184356,0.0050354669301780775
2.290386772155762,0.1890624692409889,0.037281465530395505,0.007125158314538145,,5,100,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",-0.8721037001724297,-0.8344616719688559,-0.9141080145302246,-1.0744841035653618,-0.8149778563782734,-0.9020270693230291,0.09265574381765243,21,-0.17165984618096788,-0.18060105313467414,-0.17321840184616372,-0.1654675766665252,-0.17698590097049052,-0.17358655575976428,0.005109291338451611
3.4195339679718018,0.4621165849545832,0.048061180114746097,0.010532687759549793,,5,200,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",-0.8592593323862822,-0.8228645267512428,-0.9151880348477694,-1.0659052404096856,-0.8114665355048482,-0.8949367339799655,0.09281691596947181,13,-0.17007543309657466,-0.17460974028563284,-0.1702225574550808,-0.16214431779789187,-0.17253929134089033,-0.1699182679952141,0.004229214353642164
1.0019672870635987,0.04415812114317483,0.016130495071411132,0.00030309389448009963,,10,50,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 50}",-0.8850928022221234,-0.8374532641715438,-0.9134287020654304,-1.0800374673602435,-0.8323154668152982,-0.9096655405269278,0.09037944574412796,28,-0.2761648647137615,-0.28364617365837047,-0.2771249766851329,-0.2717952543038846,-0.2886807284862243,-0.27948239956947474,0.005959898523177144
1.5839312076568604,0.11432679633970896,0.028840065002441406,0.007020419581192829,,10,100,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 100}",-0.8650750645662287,-0.8285687152900001,-0.9138092804200113,-1.0635850642814153,-0.8131031482267055,-0.8968282545568721,0.09030361236891618,17,-0.27300779343194914,-0.2794663697229244,-0.2732561443830657,-0.26337249426054604,-0.2816192729638388,-0.27414441495246483,0.0063610048474650165
3.295211172103882,0.26607027983683307,0.05530695915222168,0.013263167622021576,,10,200,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 200}",-0.856986767747843,-0.8163533460237825,-0.9159730010730406,-1.0579302007992006,-0.807905686090541,-0.8910298003468815,0.09178564833711225,6,-0.27131242639232084,-0.2764922859837144,-0.26989625512638316,-0.25972968093593685,-0.27737019886074343,-0.2709601694598197,0.006309875772075179
0.7427746295928955,0.050438737743874966,0.012968492507934571,0.0027129863197937433,10,2,50,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}",-0.8630439413498799,-0.834975943152322,-0.9158787634682956,-1.0980212805291898,-0.8212236646719379,-0.9066287186343251,0.10103905419751057,26,-0.30142408086706246,-0.28750089129967843,-0.2787028200684912,-0.2704291872480742,-0.30389728348487777,-0.28839085259363684,0.012865347764526714
